Date,Return
08/19/2014,-0.23790982010746828
08/18/2014,-0.1546968599828846
08/15/2014,0.5416074690481023
08/14/2014,-0.31531406336853807
08/13/2014,-0.06666666666666667
08/12/2014,0.2694492467275871
08/11/2014,-0.18732856091523384
08/08/2014,0.3454856422720317
08/07/2014,-0.16742861425466538
08/06/2014,-0.13982723053120166
08/05/2014,0.08680725846002943
08/04/2014,-0.2699979541734861
08/01/2014,-0.07014790507442811
07/31/2014,1.0687721369539551
07/30/2014,-0.24699955548970218
07/29/2014,0.36785569517632755
07/28/2014,0.05834405834405834
07/25/2014,-0.09921746691140952
07/24/2014,-0.16057091882247992
07/23/2014,-0.2742628450356071
07/22/2014,-0.17603413995441541
07/21/2014,-0.48628584240552053
07/18/2014,0.33071440411072434
07/17/2014,1.1591153102855916
07/16/2014,-0.13918669131238448
07/15/2014,-0.12459546925566344
07/14/2014,0.14324474317074676
07/11/2014,0.19532689614505785
07/10/2014,0.21491895764305544
07/09/2014,-0.4151872217858078
07/08/2014,0.7936314108585384
07/07/2014,0.4908276151799468
07/03/2014,-0.32396099592918676
07/02/2014,-0.2704606671731473
07/01/2014,0.10215422090279364
06/30/2014,-0.4127140238723233
06/27/2014,0.2841724553648315
06/26/2014,-0.11547250291981923
06/25/2014,-0.10774319242444837
06/24/2014,0.43616605934409164
06/23/2014,-0.6591176274870794
06/20/2014,0.8350293064148486
06/19/2014,0.41057587414594937
06/18/2014,0.20574593284873657
06/17/2014,-0.1515418502202643
06/16/2014,0.39492011470708727
06/13/2014,-0.16312397147558969
06/12/2014,0.32569766384874105
06/11/2014,-0.18613597691795516
06/10/2014,-0.07890971039182283
06/09/2014,-0.15500662175390106
06/06/2014,0.02818068794032325
06/05/2014,-0.0700836820083682
06/04/2014,-0.026893817636344155
06/03/2014,0.30076655052264806
06/02/2014,-0.18976907006944838
05/30/2014,0.3079536223321764
05/29/2014,-0.1803268765133172
05/28/2014,-0.21486621358300462
05/27/2014,0.08902230733398893
05/23/2014,0.1957544250526055
05/22/2014,0.35077746196288245
05/21/2014,-0.32974729646439177
05/20/2014,0.3968067621507396
05/19/2014,-0.1397118233234581
05/16/2014,-0.12855717890042834
05/15/2014,0.430141814214987
05/14/2014,-0.27924277246885204
05/13/2014,-0.13547712418300653
05/12/2014,-0.2159957366565549
05/09/2014,0.20684707861277396
05/08/2014,-0.3731042396799305
05/07/2014,0.9089994079336886
05/06/2014,0.6492530026364612
05/05/2014,-0.393485342019544
05/02/2014,-0.11388087116242455
05/01/2014,0.0881731483067786
04/30/2014,-0.3512041496850685
04/29/2014,-0.19082596312396943
04/28/2014,0.5881064609817646
04/25/2014,0.11534172375338538
04/24/2014,-0.08244408712176582
04/23/2014,-0.13232993700587664
04/22/2014,-0.07846651342190361
04/21/2014,-0.6230707100374476
04/17/2014,0.3916251124008829
04/16/2014,0.2693125810635538
04/15/2014,0.4970873786407767
04/14/2014,-0.3439156135344476
04/11/2014,-0.027744748315497423
04/10/2014,0.21196109042872582
04/09/2014,0.05699416095455699
04/08/2014,-0.2840785169029444
04/07/2014,-0.30893504780745135
04/04/2014,0.2491027828440313
04/03/2014,33.664174031271244
04/02/2014,17.620253164556964
04/01/2014,-0.26851851851851855
03/31/2014,-0.7378640776699029
03/28/2014,2.145038167938931
03/27/2014,-0.9974706518381217
03/26/2014,0.07043650793650794
03/25/2014,-0.2064033591392206
03/24/2014,-0.05343890700201832
03/21/2014,0.9045506963541204
03/20/2014,0.0445055284452406
03/19/2014,-0.11134897763139838
03/18/2014,-0.1605418980254821
03/17/2014,-0.05746053117331538
03/14/2014,-0.02202353141061037
03/13/2014,0.19410630959626698
03/12/2014,0.14667907409561476
03/11/2014,0.41038471003199084
03/10/2014,-0.1983560743054414
03/07/2014,0.19480672532998114
03/06/2014,0.02657579545912812
03/05/2014,-0.15836812273020398
03/04/2014,-0.30270039997159964
03/03/2014,-0.09025729357304338
02/28/2014,0.8362062149126275
02/27/2014,-0.36432861702395014
02/26/2014,0.3777570028738617
02/25/2014,-0.14072773794293536
02/24/2014,-0.10094957870803799
02/21/2014,0.09495357760009372
02/20/2014,-0.19147978877074995
02/19/2014,-0.0025038384315578125
02/18/2014,-0.035583297264049935
02/14/2014,0.19078233506944445
02/13/2014,0.06487954243457161
02/12/2014,-0.15912458403167432
02/11/2014,0.05431776275353411
02/10/2014,-0.2621315192743764
02/07/2014,0.35428395946360935
02/06/2014,-0.18706831988016975
02/05/2014,-0.14845521541950113
02/04/2014,-0.384588548253456
02/03/2014,-0.17914481573624957
01/31/2014,0.09328036944270507
01/30/2014,1.1393615907901622
01/29/2014,0.07676530911221799
01/28/2014,-0.49233392068468385
01/27/2014,0.11847965190683389
01/24/2014,0.9970864109182918
01/23/2014,0.24035504834363608
01/22/2014,-0.20631525978110454
01/21/2014,-0.2670760492734381
01/17/2014,0.604236310386652
01/16/2014,-0.13657726692209451
01/15/2014,-0.21443907137267493
01/14/2014,0.02633963507557972
01/13/2014,0.12849473610820608
01/10/2014,0.02829489783725654
01/09/2014,-0.0704622698091832
01/08/2014,-0.12149952188591613
01/07/2014,0.44273326200799595
01/06/2014,0.06156972921274434
01/03/2014,-0.08494694234766437
01/02/2014,0.34135514875820827
12/31/2013,0.098577358642647
12/30/2013,-0.21256069309130146
12/27/2013,0.17337553528207036
12/26/2013,0.822160401682725
12/24/2013,-0.5735532407407408
12/23/2013,-0.47217300995784717
12/20/2013,0.9581314671930139
12/19/2013,-0.24639967546370378
12/18/2013,0.4393084209160503
12/17/2013,-0.04141791044776119
